scheme_id,scheme_name,department,category,description,benefit,application_url,source_url
SCH001,Pre-Matric Scholarship for SC Students,"Social Justice and Empowerment Department, Gujarat",Education,Financial scholarship to Scheduled Caste students studying in classes 1 to 10 to encourage school attendance and minimize dropout rates.,"Annual educational grant of ₹3,500 for day scholars and ₹7,000 for hostellers plus book grants.",https://www.digitalgujarat.gov.in,https://sje.gujarat.gov.in/schemes/pre-matric-scholarship-sc
SCH002,Post-Matric Scholarship for OBC/SEBC Students,"Developing Castes Welfare Department, Gujarat",Education,Post-secondary educational scholarship covering maintenance allowance and tuition fees for SEBC/OBC students in technical and higher education.,"Full tuition fee reimbursement and maintenance allowance up to ₹1,200 per month.",https://www.digitalgujarat.gov.in,https://sje.gujarat.gov.in/schemes/post-matric-sebc
SCH003,Swami Vivekanand Stipend for Technical Courses,"Directorate of Employment & Training, Gujarat",Education,"Monthly financial stipend given to students from economically weaker households pursuing diploma, ITI, and undergraduate professional courses.","Stipend of ₹400 to ₹1,000 per month for the duration of the diploma/degree course.",https://www.digitalgujarat.gov.in,https://talimrojgar.gujarat.gov.in/schemes
SCH004,Indira Gandhi National Old Age Pension / Vrudh Pension,"Social Justice and Empowerment Department, Gujarat",Pension,Monthly social security pension for destitute senior citizens to provide dignified livelihood and medical security in old age.,"Monthly direct benefit transfer (DBT) of ₹1,000 to ₹1,250 credited directly to bank account.",https://esamajkalyan.gujarat.gov.in,https://sje.gujarat.gov.in/dsed/schemes/old-age-pension
SCH005,Ganga Swarupa Financial Assistance Yojana (Widow Pension),"Women and Child Development Department, Gujarat",Women & Child,Monthly economic assistance granted to widowed women for their financial independence and family sustenance.,"Monthly pension of ₹1,250 deposited directly via DBT into the beneficiary's post office or bank account.",https://wcd.gujarat.gov.in,https://wcd.gujarat.gov.in/ganga-swarupa-yojana
SCH006,Vahli Dikri Yojana,"Women and Child Development Department, Gujarat",Women & Child,"Staged financial incentive scheme for female children to improve sex ratio, encourage girl child education, and prevent child marriage.","Total financial assistance of ₹1,10,000 in three stages (at class 1, class 9, and at age 18 for higher education/marriage).",https://wcd.gujarat.gov.in,https://wcd.gujarat.gov.in/vahli-dikri-yojana
SCH007,Dr. B.R. Ambedkar Awas Yojana,"Social Justice and Empowerment Department, Gujarat",Housing,Subsidized pucca housing financial grant for homeless or kachcha house dweller families belonging to Scheduled Castes.,"Financial assistance of ₹1,20,000 released in three progressive construction installments.",https://esamajkalyan.gujarat.gov.in,https://sje.gujarat.gov.in/dsed/schemes/dr-ambedkar-awas-yojana
SCH008,Pandit Deendayal Upadhyay Awas Yojana,"Social Justice and Empowerment Department, Gujarat",Housing,Housing assistance scheme for Socially and Educationally Backward Classes (SEBC) living in dilapidated or non-permanent shelters.,"Housing construction subsidy of ₹1,20,000 for constructing a permanent pucca house.",https://esamajkalyan.gujarat.gov.in,https://esamajkalyan.gujarat.gov.in/schemes/pandit-deendayal-awas
SCH009,Sant Surdas Disability Pension Yojana,"Social Justice and Empowerment Department, Gujarat",Disability,Monthly financial pension provided to citizens living with severe disabilities (80% and above disability index) for livelihood assistance.,"Monthly pension of ₹1,000 disbursed through direct bank transfer.",https://esamajkalyan.gujarat.gov.in,https://sje.gujarat.gov.in/dsed/schemes/sant-surdas-yojana
SCH010,Manav Garima Yojana (Toolkit for Self-Employment),"Social Justice and Empowerment Department, Gujarat",Economic,"Free provision of modern occupational toolkits (carpentry, tailoring, plumbing, electrical, etc.) to empower micro-entrepreneurs and artisans.","Free physical equipment/toolkit package worth up to ₹25,000 for self-employment trades.",https://esamajkalyan.gujarat.gov.in,https://esamajkalyan.gujarat.gov.in/manav-garima
SCH011,Gujarat Concessional Education Loan Scheme,Gujarat Backward Classes Development Corporation (GSFDC),Economic,"Low-interest educational credit facility for higher secondary and graduate youth pursuing engineering, medical, and specialized professional studies.","Subsidized education loan up to ₹15,00,000 at a nominal 4% simple annual interest rate.",https://gsfdc.gujarat.gov.in,https://gsfdc.gujarat.gov.in/schemes/higher-education-loan
